Erreur_détectée	Correction_proposée	Contexte	Fichier
goi	goï	isque  ailé, et d'une corniche que caractérise la goi^e  égyptienne. Comment le conquérant qui, pour  p	PERRROT75.txt
accom	accon	ême,  des bas-reliefs du plus pur style égyptien, accom-  pagnés de longues inscriptions hiéroglyphiques,	PERRROT75.txt
pagnés	pagnes	s bas-reliefs du plus pur style égyptien, accon-  pagnés de longues inscriptions hiéroglyphiques, se  sera	PERRROT75.txt
MonU	Mon U	uvera ces dessins, à une grande échelle, dans les MonUU'  menti ineditide rinstitat archéologique, 1838,	PERRROT75.txt
ineditide	tridentine	ins, à une grande échelle, dans les Mon U'  menti ineditidee rinstitat archéologique, 1838, pi. 21 [Annali^ L	PERRROT75.txt
rinstitat	instigatrice	grande échelle, dans les Mon U'  menti tridentine rinstitatice archéologique, 1838, pi. 21 [Annali^ L X,  p. 	PERRROT75.txt
Annali	Anna li	dentine instigatrice archéologique, 1838, pi. 21 [Annalii^ L X,  p. 12) ; dans Léon de Laborde, Voyage de 	PERRROT75.txt
Laborde	Aborde	838, pi. 21 [Anna li^ L X,  p. 12) ; dans Léon de Laborde Voyage de V Asie-Mineure et de la  Syrie^ pi. 31,	PERRROT75.txt
Lepsius	Épilepsie	sie-Mineure et de la  Syrie^ pi. 31, 32, 33; dans Lepsiusie, JSgyptiacfie Denkmœler^  partie III, pi. 197. 	PERRROT75.txt
JSgyptiacfie	Égyptienne	 et de la  Syrie^ pi. 31, 32, 33; dans Épilepsie, JSgyptiacfieenkmœler^  partie III, pi. 197. — On les trouvera 	PERRROT75.txt
Denkmœler	Denteler	Syrie^ pi. 31, 32, 33; dans Épilepsie, Égyptienne Denkmœler  partie III, pi. 197. — On les trouvera réduits d	PERRROT75.txt
Monateberichle	Monopolisatrice	e III, pi. 197. — On les trouvera réduits dans le Monateberichlee  de r Académie de Berlin, juin 1854, et dans deu	PERRROT75.txt
Bertou	Vertou	n 1854, et dans deux planches ajoutées par  M. de Bertou, l'auteur des premiers dessins publiés par l’Inst	PERRROT75.txt
Saulcy	Saul	érie). Cet article a pour titre : Lettre à M, de  Saulcyur les monuments égyptiens du Nahr^l'Kelb.     BAS	PERRROT75.txt
Nahr	Nahua	ttre à M, de  Saul sur les monuments égyptiens du Nahra^l'Kelb.     BAS-REUEF DE imiPHI. ii   Sans parle	PERRROT75.txt
REUEF	REFLUER	 les monuments égyptiens du Nahua^l'Kelb.     BAS-REUEFER DE imiPHI. ii   Sans parler du prétendu cartouc	PERRROT75.txt
imiPHI	midship	nts égyptiens du Nahua^l'Kelb.     BAS-REFLUER DE imiPHIp. ii   Sans parler du prétendu cartouche, rinscri	PERRROT75.txt
ii	i	iens du Nahua^l'Kelb.     BAS-REFLUER DE midship. ii  Sans parler du prétendu cartouche, rinscription,	PERRROT75.txt
rinscription	inscription	E midship. i   Sans parler du prétendu cartouche, rinscription  aujourd'hui disparue, qu'Hérodote nous assure  a	PERRROT75.txt
Nahr	Nahua	tte place qu'As occupent dans les  bas-reliefs du Nahra-d-Kelb, qui, suivant l'historien,  appartiendrai	PERRROT75.txt
rè	rai	n,  appartiendraient à la même époque et au même  rèi^ne que celui de Karabéli (1).   L'opinion qu'Hér	PERRROT75.txt
Karabéli	Karatéka	 à la même époque et au même  rai^ne que celui de Karabéli (1).   L'opinion qu'Hérodote repousse avec une ce	PERRROT75.txt
cer	ver	ka (1).   L'opinion qu'Hérodote repousse avec une cer-  taine vivacité était donc la vraie ; ils ne se 	PERRROT75.txt
taine	raine	.   L'opinion qu'Hérodote repousse avec une ver-  taine vivacité était donc la vraie ; ils ne se trom*   	PERRROT75.txt
trom	trop	-  raine vivacité était donc la vraie ; ils ne se trom*   (1) Hérodote parait avoir été frappé de la dii	PERRROT75.txt
diiférence	différence	rop*   (1) Hérodote parait avoir été frappé de la diiférence qu'il y avait entre  les figures qu'il avait vues	PERRROT75.txt
Ionie	Sonie	il y avait entre  les figures qu'il avait vues en Ionie et qu*il attribuait à Sésostris, et  celles qu'il	PERRROT75.txt
guer	huer	qui se trouvait, affirme-t-il, sur la poitrine du guer-  rier de Nymphi, ne contenait ni le nom, ni la p	PERRROT75.txt
rier	rire	trouvait, affirme-t-il, sur la poitrine du huer-  rier de Nymphi, ne contenait ni le nom, ni la patrie d	PERRROT75.txt
Nymphi	Nympho	, affirme-t-il, sur la poitrine du huer-  rire de Nymphi, ne contenait ni le nom, ni la patrie du conquéra	PERRROT75.txt
re	ré	e contenait ni le nom, ni la patrie du conquérant re-  présenté. En admettant donc que Ton ait donné à	PERRROT75.txt
tra	art	 admettant donc que Ton ait donné à, Hérodote une tra-  duction fidèle, et non purement arbitraire, de 	PERRROT75.txt
duction	diction	tant donc que Ton ait donné à, Hérodote une art-  duction fidèle, et non purement arbitraire, de cette insc	PERRROT75.txt
Rhamsès	Ramsès	lui-même a l'air de le  sentir, à reconnaître ici Rhamsès; c'est de sa part une attribution qui  s'explique	PERRROT75.txt
foite	coite	 qui  s'explique par l'impression que lui avaient foite les récits des prêtres  relatifs au victoires de 	PERRROT75.txt
compagnés	compagnes	quer que les bas-reliefs de la Syrie étaient ac-  compagnés d'inscriptions qui donnaient le nom de Sésostris 	PERRROT75.txt
Egypte	Égypte	 nom de Sésostris (il avait  sans doute appris en Egypte à reconnaître les cartouches de certains  rois), 	PERRROT75.txt
Ionie	Sonie	e les cartouches de certains  rois), tandis qu'en Ionie le conquérant ne se nommait pas, et que  ceux-ci 	PERRROT75.txt
Memnon	Agamemnon	pas, et que  ceux-ci pouvaient voir une statue de Memnonnon dans ce qui, pour Héro-  dote, était un Sésost	PERRROT75.txt
liv	Liv	ris. Qu'on relise avec attention le chap. 106 du  liv. il, et on se rendra compte des différences qu'Hé	PERRROT75.txt
ob	Ob	e rendra compte des différences qu'Hérodote avait ob-  servées entre les bas-reliefs authentiques de R	PERRROT75.txt
servées	sevrées	dra compte des différences qu'Hérodote avait Ob-  servées entre les bas-reliefs authentiques de Rhamsès en 	PERRROT75.txt
Rhamsès	Ramsès	b-  sevrées entre les bas-reliefs authentiques de Rhamsèsen Syrie et les  pseudo-Sésoatris d'Ionie.     22 	PERRROT75.txt
Sésoatris	Sésostris	fs authentiques de Ramsès en Syrie et les  pseudo-Sésoatris d'Ionie.     22 BAft»RBLIEF DE RYMPU.   paient pa	PERRROT75.txt
d'Ionie	d’Ionien	iques de Ramsès en Syrie et les  pseudo-Sésostris d'Ionien.     22 BAft»RBLIEF DE RYMPU.   paient pas ceux 	PERRROT75.txt
BAft	Bat	n Syrie et les  pseudo-Sésostris d’Ionien.     22 BAftRBLIEF DE RYMPU.   paient pas ceux <}ui, dans le g	PERRROT75.txt
RYMPU	ROMPU	  pseudo-Sésostris d’Ionien.     22 Bat»RBLIEF DE RYMPU.   paient pas ceux <}ui, dans le guerriar armé de	PERRROT75.txt
ui	hi	.     22 Bat»RBLIEF DE ROMPU.   paient pas ceux <}ui, dans le guerriar armé de Tare  et de la lance, a	PERRROT75.txt
guerriar	aguerrir	»RBLIEF DE ROMPU.   paient pas ceux <}hi, dans le guerriar armé de Tare  et de la lance, aimaient mieux voir	PERRROT75.txt
Memnon	Agamemnon	armé de Tare  et de la lance, aimaient mieux voir Memnonnon que  Sésostris ; pour leur donner raison, il s	PERRROT75.txt
Memnon	Agamemnon	assertion dans le langage de la science  moderne. Memnonnon, dans les traditions deTépopée,  c'était un ro	PERRROT75.txt
deTépopée	dépotée	 science  moderne. Agamemnon, dans les traditions deTépopée c'était un roi d'Assyrie (1); or, quel que soit l	PERRROT75.txt
tte	te	it été ici représenté, il  est certain que dans c^tte6gure, comme dans  celles que nous en avons rappro	PERRROT75.txt
gure	grue	té ici représenté, il  est certain que dans c^te 6gure, comme dans  celles que nous en avons rapprochées	PERRROT75.txt
Layard	Fayard	aître à l'Europe les  découvertes de MM. Botta et Layard (2).     L'impression de ce travail était déjà te	PERRROT75.txt
Hyde	Hydne	 était déjà terminée  quand nous avons reçu de M. Hydee Clarke une     (1) Les Grecs appelaient sans dou	PERRROT75.txt
Clarke	Clark	 déjà terminée  quand nous avons reçu de M. Hydne Clarkeune     (1) Les Grecs appelaient sans doute statue	PERRROT75.txt
Memnon	Agamemnon	   (1) Les Grecs appelaient sans doute statues de Memnonnon les  sculptures assyriennes ou médiques qui re	PERRROT75.txt
repràsentaient	représentaient	emnon les  sculptures assyriennes ou médiques qui repràsentaient le type aiiyour^  d'hui si bien connu de nos arch	PERRROT75.txt
aiiyour	Youri	ssyriennes ou médiques qui représentaient le type aiiyour d'hui si bien connu de nos archéologues, le roi, 	PERRROT75.txt
d'hui	d’huis	es ou médiques qui représentaient le type Youri^  d'huis si bien connu de nos archéologues, le roi, coiff	PERRROT75.txt
aflkires	flaires	re et la barbe frisées. Ceux des Grecs  que leurs aflkiresataient conduits à la cour du grand roi s'étaient 	PERRROT75.txt
ataient	étaient	 barbe frisées. Ceux des Grecs  que leurs flaires ataient conduits à la cour du grand roi s'étaient fa-  mi	PERRROT75.txt
miliarisés	militarisés	nt conduits à la cour du grand roi s'étaient fa-  miliariséss avec ce type dans les palais de Ninive et de Bab	PERRROT75.txt
rAsie	Asie	 le  retrouvant sur les rochers de la Syrie et de rAsieMineure, ils lui  avaient donné le nom du héros qu	PERRROT75.txt
gendaire	légendaire	 du héros qui représentait pour eux, dans sa lé-  gendairere splendeur, la puissance de la lointaine Assyrie	PERRROT75.txt
Clarke	Clark	tures  soient en parfait accord avec celles de M. Clarke c Mon humble avis,  nous écrit-il, est que ce mon	PERRROT75.txt
TAssyrie	Assyrie	ien, mais  qu'il se rattache au style, à l’art de TAssyrie que peui-étre il repré-  sente un type allié, mai	PERRROT75.txt
peui	peu	'il se rattache au style, à l’art de Assyrie, que peuiétre il repré-  sente un type allié, mais indépend	PERRROT75.txt
repré	repéré	che au style, à l’art de Assyrie, que peu-étre il repréé-  sente un type allié, mais indépendant. 9     B	PERRROT75.txt
BAMIBUEP	BALSAMIQUE	ré-  sente un type allié, mais indépendant. 9     BAMIBUEPUE DE NTimi. S3   pfiotogrephie de la célèbre figu	PERRROT75.txt
NTimi	Intimité	type allié, mais indépendant. 9     BALSAMIQUE DE NTimiité. S3   pfiotogrephie de la célèbre figure du mo	PERRROT75.txt
pfiotogrephie	photographie	s indépendant. 9     BALSAMIQUE DE Intimité. S3   pfiotogrephiede la célèbre figure du mont Sipyle,  entre Magnés	PERRROT75.txt
Sipyle	Éolipyle	é. S3   photographie de la célèbre figure du mont Sipylele,  entre Magnésie et Smyme, où on a cru reconnaî	PERRROT75.txt
Smyme	Abymes	lèbre figure du mont Éolipyle,  entre Magnésie et Smymes, où on a cru reconnaître la  Nk>bé dont parlent 	PERRROT75.txt
Nk	K	e Magnésie et Abymes, où on a cru reconnaître la  Nkbé dont parlent Sophocle et Ovide. Nous aurions  c	PERRROT75.txt
Nympbi	Nymphe	ue ^ si die avait pu, comme celle  du guerrier de Nympbi, leur apprendre quelque  chose; mais cette figure	PERRROT75.txt
photogra	photographe	avance de  ce que l'on doit chercher dans l’image photographe*  pbique, au premier abord Tœil ne s'y retrouv	PERRROT75.txt
pbique	pique	que l'on doit chercher dans l’image photographe*  pbique au premier abord Tœil ne s'y retrouverait  pas et	PERRROT75.txt
Tœil	Œil	ans l’image photographe*  pique, au premier abord Tœilne s'y retrouverait  pas et ne saurait on se prend	PERRROT75.txt
Svoboda	Subodora	t ne saurait on se prendre. L'habile artiste,  M. Svobodaa, s'était pourtant arrangé pour obtenir  son clic	PERRROT75.txt
lant	lat	 a sur la gigantesque statue le moins d'eau cou-  lantle long du roc, et le moins d'herbe attachée  aux 	PERRROT75.txt
Boghaz	Boghead	st que la figure était, comme  nos bas-reliefs de Boghazd-keui, de Ghiaour-kalé et  de Nymphi, taillée au 	PERRROT75.txt
Ghiaour	Giaour	était, comme  nos bas-reliefs de Boghead-keui, de Ghiaourkalé et  de Nymphi, taillée au centre d'une sorte 	PERRROT75.txt
Nymphi	Nympho	as-reliefs de Boghead-keui, de Giaour-kalé et  de Nymphi, taillée au centre d'une sorte de niche  pratiqué	PERRROT75.txt
Niobé	Nimbé	 disposition générale. Seulement  le relief de la Niobé est bien plus fort ; c'est presque  une ronde-bos	PERRROT75.txt
Tidée	Idée	trouver dans cette  masse, qui donne certainement Tidéed'une  femme assise, un simple accident du roc, un	PERRROT75.txt
lusus	lulus	'une  femme assise, un simple accident du roc, un lusus  nalurœ^ c'est là une manière de voir à laquelle,	PERRROT75.txt
nalurœ	urinal	emme assise, un simple accident du roc, un lulus  nalurœ^ c'est là une manière de voir à laquelle,  nous a	PERRROT75.txt
Glarke	Glaréole	à une manière de voir à laquelle,  nous assure M. Glarkele, il faut tout à fait renoncer ;  les traces du 	PERRROT75.txt
RBUBF	FOURBUE	du travail humain sont évidentes, nous     24 BAS-RBUBFUE DE NnPHL   dit-il, pour quiconque a tu le monum	PERRROT75.txt
NnPHL	Naphtol	humain sont évidentes, nous     24 BAS-FOURBUE DE NnPHLol   dit-il, pour quiconque a tu le monument. La  	PERRROT75.txt
Texier	Exister	 nom il con*  vient de lui donner (1).     (1) M. Texierr croit reconnaître dans cette figure une statue d	PERRROT75.txt
Steuart	Stuart	, p. 266. Cette figure colossale a été donnée par Steuart (A Description of some ancient monuments stUl exi	PERRROT75.txt
of	off	colossale a été donnée par Stuart  (A Description off some ancient monuments stUl exisHng in Lydia  an	PERRROT75.txt
some	somme	ssale a été donnée par Stuart  (A Description off somee ancient monuments stUl exisHng in Lydia  and Pkr	PERRROT75.txt
ancient	ancien	a été donnée par Stuart  (A Description off somme ancientmonuments stUl exisHng in Lydia  and Pkrygia, ^, L	PERRROT75.txt
stUl	seul	Stuart  (A Description off somme ancien monuments stUl exisHng in Lydia  and Pkrygia, ^, Londres, 1842).	PERRROT75.txt
exisHng	existence	t  (A Description off somme ancien monuments seul exisHngce in Lydia  and Pkrygia, ^, Londres, 1842).	PERRROT75.txt
and	ans	f somme ancien monuments seul existence in Lydia  and Pkrygia, ^, Londres, 1842).	PERRROT75.txt
Pkrygia	Phrygie	mme ancien monuments seul existence in Lydia  ans Pkrygia, ^, Londres, 1842).	PERRROT75.txt
