Erreur_détectée	Correction_proposée	Contexte	Fichier
Tens	Tess	t fait…. la mort approche, je la sens….. déjà mes Tens s’affoibliflent…. ( Ses genoux ptietitfous   elle	5781000.xml
affoibliflent	affouillent	. la mort approche, je la sens….. déjà mes Tess s’affoibliflent ( Ses genoux ptietitfous   elle'y% '& elle tombe 	5781000.xml
ptietitfous	tout-petits	ens….. déjà mes Tess s’affouillent…. ( Ses genoux ptietitfous   elle'y% '& elle tombe par terré) …  Je succombe	5781000.xml
elle'y	elle	s Tess s’affouillent…. ( Ses genoux tout-petits   elle'y'& elle tombe par terré) …  Je succombe sous le po	5781000.xml
jè	je	Je succombe sous le poids de mes maux…. Eh bien,, jè vais  1  attendre ici l’inftant fatal.. .Que dis-	5781000.xml
inftant	infant	e mes maux…. Eh bien,, je vais  1  attendre ici l’inftantfatal.. .Que dis-je ? l’inftànt heureux. Le terme 	5781000.xml
inftànt	infant	 1  attendre ici l’infant fatal.. .Que dis-je ? l’inftàntheureux. Le terme de ma vie sera celui de 'mes, ma	5781000.xml
îe	e	a vie sera celui de 'mes, malheurs. O ciel ! hâte îecoup. …Mais il est encore loin 'péut-être ; la fai	5781000.xml
péut	peut	. O ciel ! hâte e coup. …Mais il est encore loin 'péut-être ; la faim, la terreur, tout ya se réunir fur	5781000.xml
ya	IA	ncore loin 'peut-être ; la faim, la terreur, tout ya se réunir fur stia tête…. Quelles armes puis-je l	5781000.xml
stia	sait	être ; la faim, la terreur, tout IA se réunir fur stia tête…. Quelles armes puis-je lëur opóser ? -La pa	5781000.xml
lëur	leur	A se réunir fur sait tête…. Quelles armes puis-je lëur opóser ? -La patience ? le désespoir. Quoi ! je v	5781000.xml
opóser	opposer	réunir fur sait tête…. Quelles armes puis-je leur opóserr ? -La patience ? le désespoir. Quoi ! je verrai 	5781000.xml
la'moitié	moitié-moitié	rt s’avancer à pas lents, me frapper par degrés, 'la'moitiéitié de moi-même verra 'périr l’autre' ?..','.  cM	5781000.xml
cMais	c Mais	moitié de moi-même verra 'périr l’autre' ?..','.  cMaiss  que vois-je ? (  Elle se levé avec vivacité, & 	5781000.xml
vd	vs	  que vois-je ? (  Elle se levé avec vivacité, & >vd prendre un poignard qu’elle apperçoìt sur itn. ■<	5781000.xml
apperçoìt	appertiser	 avec vivacité, & >vs prendre un poignard qu’elle apperçoìtr sur itn. ■<ereueil  ) , Je respire. Cet objet a 	5781000.xml
itn	tin	 & >vs prendre un poignard qu’elle appertiser sur itn. ■<ereueil  ) , Je respire. Cet objet a ranimé to	5781000.xml
ereueil	recueil	prendre un poignard qu’elle appertiser sur tin. ■<ereueil  ) , Je respire. Cet objet a ranimé toutes ì'es  	5781000.xml
ì'es	n’es	ecueil  ) , Je respire. Cet objet a ranimé toutes ì'es   farces de mon ame. Mânes de mes ayeux ! faites 	5781000.xml
ame	âme	e. Cet objet a ranimé toutes n’es   farces de mon ame. Mânes de mes ayeux ! faites passer dans mon ame 	5781000.xml
ayeux	aïeux	imé toutes n’es   farces de mon âme. Mânes de mes ayeux ! faites passer dans mon ame cette fermeté qui fi	5781000.xml
ame	âme	 âme. Mânes de mes aïeux ! faites passer dans mon ame cette fermeté qui fit votre gloire…. II est temps	5781000.xml
féduis	déduis	 temps…. l’heure sonne…. Père barbare ! à quoi me féduis-tu ?.,. J’entends du bruit, quelqu’un vient.  SCE	5781000.xml
SCENE	SCÈNE	uis-tu ?.,. J’entends du bruit, quelqu’un vient.  SCENE II . LE BARON, LE CHEVALIERS ADELAIDE. %Le Cheval	5781000.xml
ADELAIDE	BADELAIRE	lqu’un vient.  SCÈNE II . LE BARON, LE CHEVALIERS ADELAIDEE. %Le Chevalier & le Baron descendent eux-mêmes, 	5781000.xml
myjìere	Jeremy	& le Baron descendent eux-mêmes, un cercueil avec myjìere ) *  L E C H Ê V A L I E R.   $J N1 s s o N s nos	5781000.xml
Ê	E	 eux-mêmes, un cercueil avec Jeremy, ) *  L E C H Ê V A L I E R.   $J N1 s s o N s nos deux victimes.	5781000.xml
ï	i	ÏDE.   Ciel ! Que vois-je ? Mon père ! mon frère  ï  Ai-je encore de nouveaux tourmens à souffrir ?, 	5781000.xml
tourmens	tourments	Mon père ! mon frère  i  Ai-je encore de nouveaux tourmenss à souffrir ?,   L E B A R o N.   „ Malheureuse !	5781000.xml
É	E	ouffrir ?,   L E B A R o N.   „ Malheureuse !   L É G HE VA El E R.   Vois, regarde ; ton indigne amo	5781000.xml
HE	HÉ	rir ?,   L E B A R o N.   „ Malheureuse !   L E G HE VA El E R.   Vois, regarde ; ton indigne amour, n	5781000.xml
ceûte	ceste	El E R.   Vois, regarde ; ton indigne amour, nous ceûte 4m nouveau forfait. - '   ADÉLAÏDE,  Va  cercueil	5781000.xml
Jf	F	  Va  cercueil ! Dieux ! quelle horreur me saisit Jf  ?S ÂDÉ L AÏDË  ' .   … A peine je respire… Un no	5781000.xml
ÂDÉ	DÉ	ercueil ! Dieux ! quelle horreur me saisit F   ?S ÂDÉL AÏDË  ' .   … A peine je respire… Un nouveau for	5781000.xml
AÏDË	AIDE	il ! Dieux ! quelle horreur me saisit F   ?S DÉ L AÏDË  ' .   … A peine je respire… Un nouveau forfait !	5781000.xml
Baí	Bas	 ' .   … A peine je respire… Un nouveau forfait ! Baí^ bares ! quelle est donc la victime ?.. »   LE BA	5781000.xml
bares	barres	  … A peine je respire… Un nouveau forfait ! Bas^ baress ! quelle est donc la victime ?.. »   LE BARON  t	5781000.xml
Qkel	Quel	HEVALIER  troublé »  •Sortons. Où -allez-vous ?-… Qkel trouble ?» »*   LE BARON. Allons ; je te fuis.   	5781000.xml
abandorti	abandonner	.   ADÉLAÏDE.   Vous me quittez, mon père, vous m’abandortir   nez Mais parlez, quelle est îa malheureuses   	5781000.xml
îa	IA	", vous m’abandonner   nez Mais parlez, quelle est îa malheureuses   victime ?…   ""LE BARON.   Vous l’a"	5781000.xml
embraíïer	embraser	.   LE CHEVALIER.   Tu l’adoras vivant, tu peux l’embraíïerdans   la tombe.   ADÉLAÏDE.  -  v  Ciel ! ( Elle 	5781000.xml
dppuyés	appuyés	  Mon fils , soutiens moi ; sortons. ( Us sortent dppuyés Vun fur Vautre en chancelants  ■-. DfiCMlARIXN’DA	5781000.xml
Vun	Un	ls , soutiens moi ; sortons. ( Us sortent appuyés Vunfur Vautre en chancelants  ■-. DfiCMlARIXN’DAL. '$	5781000.xml
DfiCMlARIXN	Clarification	sortent appuyés Un fur Vautre en chancelants  ■-. DfiCMlARIXNon’DAL. '$►  S 0 E N E I I L Z  ADÉLAÏDE, FRANKNER	5781000.xml
FRANKNERV	FRANKIE	"rification’DAL. '$►  S 0 E N E I I L Z  ADÉLAÏDE, FRANKNERV A D É L A ï DE. ..-..,  > .   JE me meurs"",. …. j"	5781000.xml
É	E	". '$►  S 0 E N E I I L Z  ADÉLAÏDE, FRANKIE   A D É L A ï DE. ..-..,  > .   JE me meurs"",. …. je touc"	5781000.xml
ï	i	" S 0 E N E I I L Z  ADÉLAÏDE, FRANKIE   A D E L A ï DE. ..-..,  > .   JE me meurs"",. …. je touche à m"	5781000.xml
dernieï	dernier	". ..-..,  > .   JE me meurs"",. …. je touche à mon dernieï fiioment,.. Frankner ! ô mon époux !   F R A N K "	5781000.xml
fiioment	finement	"  > .   JE me meurs"",. …. je touche à mon dernier fiioment,.. Frankner ! ô mon époux !   F R A N K N Ë R  s "	5781000.xml
Frankner	Safraner	"e meurs"",. …. je touche à mon dernier finement,.. Frankner ! ô mon époux !   F R A N K N Ë R  s élançant du "	5781000.xml
Ë	E	inement,.. Safraner ! ô mon époux !   F R A N K N Ë R  s élançant du cercueil*.. , H vit, il respire,	5781000.xml
É	E	 , H vit, il respire, il est dans tes bras.   A D É L A ï D E.   Un moment Frankner,… soutiens-moi…..	5781000.xml
ï	i	it, il respire, il est dans tes bras.   A D E L A ï D E.   Un moment Frankner,… soutiens-moi….. La do	5781000.xml
Frankner	Safraner	est dans tes bras.   A D E L A i D E.   Un moment Frankner,… soutiens-moi….. La douleur… la joie… Est*ce toi	5781000.xml
FRANKNER	SAFRANER	iens-moi….. La douleur… la joie… Est*ce toi ?   • FRANKNER.: .. , '  T  Oui, c’est Frankner ; je viens t’arr	5781000.xml
Frankner	Safraner	Est*ce toi ?   • SAFRANER.: .. , '  T  Oui, c’est Frankner ; je viens t’arracher au tombeau, ou m’y endormir	5781000.xml
FRANKNER	SAFRANER	DE ; Ciel ! en quel lieu le sort nous réunit !  » FRANKNER.   Bientôt, bientôt peut-être la clarté nous fera	5781000.xml
hazardé	bazardé	bare projet de l’auteur   de tes jours. J’ai tout-hazardé pour m’en   .éclaircir… Jérôme'doit seconder'tà-m	5781000.xml
Jérôme'doit	Saint-Jérôme	 jours. J’ai tout-bazardé pour m’en   .éclaircir… Jérôme'doite seconder'tà-merë, que j’ai   instruite de ce que	5781000.xml
seconder'tà	seconder	tout-bazardé pour m’en   .éclaircir… Saint-Jérôme seconder'tàrë, que j’ai   instruite de ce que j’entreprends ;	5781000.xml
EHe	Eve	ë, que j’ai   instruite de ce que j’entreprends ; EHe.uïòus aime ;  fd ^délaiíds: ,  « llè va saïre ouv	5781000.xml
fd	f	ruite de ce que j’entreprends ; Eve.uïòus aime ;  fd^délaiíds: ,  « llè va saïre ouvrir le tombeau qui	5781000.xml
délaiíds	délais	te de ce que j’entreprends ; Eve.uïòus aime ;  f ^délaiíds,  « llè va saïre ouvrir le tombeau qui nous renfe	5781000.xml
llè	lès	j’entreprends ; Eve.uïòus aime ;  f ^délais: ,  « llè va saïre ouvrir le tombeau qui nous renfermés SLe	5781000.xml
saïre	saïte	prends ; Eve.uïòus aime ;  f ^délais: ,  « lès va saïre ouvrir le tombeau qui nous renfermés SLe barbare 	5781000.xml
SLe	S Le	lès va saïte ouvrir le tombeau qui nous renfermés SLee barbare qui fut ton père, sera peut-être tou* ch	5781000.xml
tou	fou	més S Le barbare qui fut ton père, sera peut-être tou* ché de tant d’amour. Mais s’il períìstoit dans f	5781000.xml
ché	chai	 Le barbare qui fut ton père, sera peut-être fou* chéi de tant d’amour. Mais s’il períìstoit dans fa ve	5781000.xml
períìstoit	préhistoire	ra peut-être fou* chai de tant d’amour. Mais s’il períìstoite dans fa vengeance, donncmoi ta main, Adélaïde , 	5781000.xml
donncmoi	Donnie	d’amour. Mais s’il préhistoire dans fa vengeance, donncmoia main, Adélaïde , je te jure,… & je prends à témo	5781000.xml
ayeux	aïeux	e te jure,… & je prends à témoin-les mânes de tes ayeux… Je te jure que rien ne peut désormais t’arracher	5781000.xml
É	E	"sormais t’arracher des -bras de ton époux »   A D É L A ï D E, ~   "" Dieux ! quel bruit I .   FRANK N"	5781000.xml
ï	i	"s t’arracher des -bras de ton époux »   A D E L A ï D E, ~   "" Dieux ! quel bruit I .   FRANK NE E.  "	5781000.xml
tA	ta	"  c’est, elle-même. ,""  S CE N E I K  ■_ ■  '■>'  tA BARONNE, ADELAIDE^   FR A N-K'N’E R. '   ADÉLAÏDE"	5781000.xml
ADELAIDE	BADELAIRE	"e-même. ,""  S CE N E I K  ■_ ■  '■>'  ta BARONNE, ADELAIDEE^   FR A N-K'N’E R. '   ADÉLAÏDE  se jettant dans"	5781000.xml
FR	fr	 CE N E I K  ■_ ■  '■>'  ta BARONNE, BADELAIRE^   FR A N-K'N’E R. '   ADÉLAÏDE  se jettant dans les br	5781000.xml
K'N	KEN	 I K  ■_ ■  '■>'  ta BARONNE, BADELAIRE^   fr A N-K'N’E R. '   ADÉLAÏDE  se jettant dans les bras de la	5781000.xml
jettant	jetant	NE, BADELAIRE^   fr A N-KEN’E R. '   ADÉLAÏDE  se jettantdans les bras de la Baronne . ; »  , b4a raere !  	5781000.xml
raere	rare	e jetant dans les bras de la Baronne . ; »  , b4a raere!  LÀ SA KO ..N NE. :   O ma fille ! je te retrouv	5781000.xml
Tòh	Thé	..N NE. :   O ma fille ! je te retrouve- ;.enfin. Tòh poreme fuit. Le barbare ne me,raviva plus fnon Ad	5781000.xml
poreme	pore me	NE. :   O ma fille ! je te retrouve- ;.enfin. Thé poremee fuit. Le barbare ne me,raviva plus fnon Adélaïde	5781000.xml
fnon	gnon	n. Thé pore me fuit. Le barbare ne me,raviva plus fnon Adélaïde. Je ne te quitte pas   ?.èi  Que jíe :yO	5781000.xml
èi	i	aviva plus gnon Adélaïde. Je ne te quitte pas   ?.èi Que jíe :yOus dois-:je pasJU. Frankner, » *y rnon	5781000.xml
jíe	je	lus gnon Adélaïde. Je ne te quitte pas   ?.i  Que jíe:yOus dois-:je pasJU. Frankner, » *y rnonfils  K- 	5781000.xml
yOus	tous	gnon Adélaïde. Je ne te quitte pas   ?.i  Que je :yOus dois-:je pasJU. Frankner, » *y rnonfils  K- ;/j  	5781000.xml
pasJU	Passau	 Je ne te quitte pas   ?.i  Que je :tous dois-:je pasJUu. Frankner, » *y rnonfils  K- ;/j  a^. ■■.■:.:.- 	5781000.xml
Frankner	Safraner	e quitte pas   ?.i  Que je :tous dois-:je Passau. Frankner, » *y rnonfils  K- ;/j  a^. ■■.■:.:.- •..'.-' ;vv	5781000.xml
rnonfils	contre-fils	?.i  Que je :tous dois-:je Passau. Safraner, » *y rnonfilsils  K- ;/j  a^. ■■.■:.:.- •..'.-' ;vv  a  . '  SC	5781000.xml
vv	v	 » *y contre-fils  K- ;/j  a^. ■■.■:.:.- •..'.-' ;vv a  . '  SCENE F ,  De mariendal. sxs CENE V . LES	5781000.xml
SCENE	SCÈNE	e-fils  K- ;/j  a^. ■■.■:.:.- •..'.-' ;v  a  . '  SCENE F ,  De mariendal. sxs CENE V . LES M Ê  JM  E S,	5781000.xml
mariendal	mandarinale	  a^. ■■.■:.:.- •..'.-' ;v  a  . '  SCÈNE F ,  De mariendalle. sxs CENE V . LES M Ê  JM  E S, LE B A R O N.  	5781000.xml
sxs	ses	.- •..'.-' ;v  a  . '  SCÈNE F ,  De mandarinale. sxs CENE V . LES M Ê  JM  E S, LE B A R O N.  L E B A	5781000.xml
CENE	CÈNE	..'.-' ;v  a  . '  SCÈNE F ,  De mandarinale. ses CENE V . LES M Ê  JM  E S, LE B A R O N.  L E B A R O 	5781000.xml
Ê	E	 '  SCÈNE F ,  De mandarinale. ses CÈNE V . LES M Ê  JM  E S, LE B A R O N.  L E B A R O N.   V7UEL e	5781000.xml
JM	J	 SCÈNE F ,  De mandarinale. ses CÈNE V . LES M E  JM E S, LE B A R O N.  L E B A R O N.   V7UEL est lé	5781000.xml
UEL	LEU	ES M E  J  E S, LE B A R O N.  L E B A R O N.   V7UEL est lé téméraire qui ose me braver ainsi ?  FRANK	5781000.xml
FRANKNER	SAFRANER	V7LEU est lé téméraire qui ose me braver ainsi ?  FRANKNER  se présentant .  r Le voilà,  L E B A R O Ni   V	5781000.xml
FRANKNER	SAFRANER	"oilà,  L E B A R O Ni   Vous ! • ■ ' ' ''''""'-.   FRANKNER. Frankner.   LE B A R o N.   Insolent !… sortez ;"	5781000.xml
Frankner	Safraner	" B A R O Ni   Vous ! • ■ ' ' ''''""'-.   SAFRANER. Frankner.   LE B A R o N.   Insolent !… sortez ; ou la mor"	5781000.xml
É	E	 K N E R.   Je ne sortirai qu’avec Adélaïde. A i> É L,A ï D E  dans les Iras de la Baronne . O ma mèr	5781000.xml
ï	i	 R.   Je ne sortirai qu’avec Adélaïde. A i> E L,A ï D E  dans les Iras de la Baronne . O ma mère ! qu	5781000.xml
jpPVous	voussures	" mère ! quel terrible moment !   L E B A R O N.   jpPVouses oseriez ?….   '""'■.'. ÏKÁNOÉ R. ; Oui, j’ose to"	5781000.xml
ÏKÁNOÉ	Pas de correction trouvée	" L E B A R O N.   voussures oseriez ?….   '""'■.'. ÏKÁNOÉ R. ; Oui, j’ose tout… Quoi, ce ; coeur est donc i"	5781000.xml
coeur	cœur	"  '""'■.'. ÏKÁNOÉ R. ; Oui, j’ose tout… Quoi, ce ; coeurest donc incapable de rémords !… l’aspect de ce li"	5781000.xml
rémords	remords	"j’ose tout… Quoi, ce ; cœur est donc incapable de rémords !… l’aspect de ce lieu terrible,   •fia "". A D É "	5781000.xml
É	E	"ds !… l’aspect de ce lieu terrible,   •fia "". A D É LA I DE   úne mère en pleurs, une fil Ie^ expiran"	5781000.xml
úne	ne	"ct de ce lieu terrible,   •fia "". A D E LA I DE   únemère en pleurs, une fil Ie^ expirante, rien ne le "	5781000.xml
Ie	E	"fia "". A D E LA I DE   ne mère en pleurs, une fil Ie expirante, rien ne le touche… Barbare ! je pourro"	5781000.xml
pourrois	pourris	fil E^ expirante, rien ne le touche… Barbare ! je pourroisimplorer contre vous le glaive des loix ; je vous 	5781000.xml
loix	poix	e ! je pourris implorer contre vous le glaive des loix ; je vous verrois bientôt accablé fous le poids d	5781000.xml
verrois	versoir	implorer contre vous le glaive des poix ; je vous verrois bientôt accablé fous le poids de votre crime, exp	5781000.xml
JEROME	JÉRÔME	ous qu’un fils tendre & respectueux…   LÉS MÊMES, JEROME.  J é r ô k £  empressé .  /ILB ! Monsieur..,. » 	5781000.xml
é	ai	ils tendre & respectueux…   LÉS MÊMES, JÉRÔME.  J éi r ô k £  empressé .  /ILB ! Monsieur..,. »   LE 	5781000.xml
ILB	IL	"   LÉS MÊMES, JÉRÔME.  J ai r ô k £  empressé .  /ILB! Monsieur..,. »   LE B A R ò w "" Que voulez-vòus,"	5781000.xml
ò	e	" k £  empressé .  /IL ! Monsieur..,. »   LE B A R ò w "" Que voulez-vòus, Jérôme ?   JÉRÔME.  1  La co"	5781000.xml
vòus	vus	" /IL ! Monsieur..,. »   LE B A R e w "" Que voulez-vòus Jérôme ?   JÉRÔME.  1  La cour est remplie de che"	5781000.xml
í	e	  1  La cour est remplie de chevaux & d’Huissiers í on fouille par-tout, on saisit tout. Monsieur le 	5781000.xml
á	e	e par-tout, on saisit tout. Monsieur le Chevalier á voulu s’opposer' à leurs entreprises ;   & dans s	5781000.xml
alloit	alloti	s entreprises ;   & dans son premier mouvement il alloit leur faire violence ; on le désarme, on l’enferme	5781000.xml
tage	rage	de à vue ; une affreuse prison-va être son par- ; tage,.. Ah Monsieur !… ah Madame !   LE BAR O N. J’y c	5781000.xml
Ê	E	eur !… ah Madame !   LE BAR O N. J’y cours, '   J Ê R ô M E  le retenant . Gardez-yoús de vous présen	5781000.xml
yoús	yods	 J’y cours, '   J E R ô M E  le retenant . Gardez-yoús de vous présenter, ils sont ea 'grand nombre ; il	5781000.xml
ea	ra	etenant . Gardez-yods de vous présenter, ils sont ea 'grand nombre ; ils vous cherchent, pour vous arr	5781000.xml
ÌÍ	Pas de correction trouvée	E B A R O N.   . Tout est perdu, -   L A B A R ON ÌÍ R   Nous allons voir.  AjaÌLÂ.ÏDMcourantàfamere .	5781000.xml
AjaÌLÂ	Ajaccio	perdu, -   L A B A R ON ÌÍ R   Nous allons voir.  AjaÌLÂo.ÏDMcourantàfamere .   Ma mère ! Frankner ! vous 	5781000.xml
Frankner	Safraner	ns voir.  Ajaccio.ÏDMcourantàfamere .   Ma mère ! Frankner ! vous me quittez ?   FRANKNER.   Demeurez, Madam	5781000.xml
FRANKNER	SAFRANER	mere .   Ma mère ! Safraner ! vous me quittez ?   FRANKNER.   Demeurez, Madame, jusqu’à mon retour ; fi vous	5781000.xml
suiv	suif	u’à mon retour ; fi vous sortez, qu’Adélaïde vous suiv« .   L A B À K Q N N E.   Gela suffit, ne crains 	5781000.xml
rkn	Kirk	« .   L A B À K Q N N E.   Gela suffit, ne crains rknk.   FRANK NE E.   Je compte fur votre fermeté, & 	5781000.xml
Fij	Fiu	otre fermeté, & vais mettre ordre à tout. , ^ ■   Fij  S CE NE VI I .  LE BARON, LA BARONNE, ADÉLAÏDE, 	5781000.xml
JEROME	JÉRÔME	  S CE NE VI I .  LE BARON, LA BARONNE, ADÉLAÏDE, JEROME.   L Á B A R O N N E.   JCiH bien, Monsieur, voic	5781000.xml
Á	E	 I .  LE BARON, LA BARONNE, ADÉLAÏDE, JÉRÔME.   L Á B A R O N N E.   JCiH bien, Monsieur, voici l’ins	5781000.xml
JCiH	Jeci	BARONNE, ADÉLAÏDE, JÉRÔME.   L E B A R O N N E.   JCiH bien, Monsieur, voici l’instant de la destruction	5781000.xml
asyle	asile	tiniez à votre fille, va peut-être, devenir votre asyle. Vous allez être contraint de vous y cacher, pour	5781000.xml
Yous	Sous	e vous y cacher, pour vous dérober au malheur qui Yous.menace. Croyez-moi, l’alliance de Frankner peut r	5781000.xml
Frankner	Safraner	alheur qui Sous.menace. Croyez-moi, l’alliance de Frankner peut remédier à tous nos maux.   LE B A R O N.   	5781000.xml
accèpterois	accessoiriste	eut remédier à tous nos maux.   LE B A R O N.   J’accèpteroiste des secouiís ,d’un homme !.. .Ah ! Madame, ne m	5781000.xml
secouiís	secousse	s nos maux.   LE B A R O N.   J’accessoiriste des secouiís ,d’un homme !.. .Ah ! Madame, ne me faites pas ro	5781000.xml
Franknes	Safranes	D AL. 8^   Jérôme n’a rien sait pour vous ; c’est Franknes qui vous a déja tiré d’un embarras, & qui, loin d	5781000.xml
déja	déjà	a rien sait pour vous ; c’est Safranes qui vous a déja tiré d’un embarras, & qui, loin d’accabler votre 	5781000.xml
BAEON	BARON	s. Cessez de faire votre malheur & le nôtre.   LE BAEON  après avoir rivé un inflant .   Vous ferez satis	5781000.xml
inflant	infant	lheur & le nôtre.   LE BARON  après avoir rivé un inflant.   Vous ferez satisfaite. Envoyez Jérôme savoir c	5781000.xml
Á	E	e. Envoyez Jérôme savoir ce qui se passe.   L A B Á R O N N E.   Allez Jérôme, allez voir, & revenez 	5781000.xml
nòus	nus	 R O N N E.   Allez Jérôme, allez voir, & revenez nòusrendre compte au plutôt. ( Jérôme son.)   LE BARON	5781000.xml
sentimens	sentiments	enez vous-même digne de nous par votre retour aux sentimenss de la nature & de l’amitié.   L E B A R o N«    	5781000.xml
iij	Meiji	"ïde, embrassez-moi, je vous pardonne. '•■•.-""   F iijji  $$  ÂDÉt A Ï,D""E, ' ■  :smAD  á L AÏ B E.   Mo"	5781000.xml
ÂDÉt	Détox	"sez-moi, je vous pardonne. '•■•.-""   F Meiji  $$  ÂDÉtx A Ï,D""E, ' ■  :smAD  á L AÏ B E.   Mon père. - -"	5781000.xml
Ï	I	" je vous pardonne. '•■•.-""   F Meiji  $$  Détox A Ï,D""E, ' ■  :smAD  á L AÏ B E.   Mon père. - - . """""	5781000.xml
smAD	smala	"onne. '•■•.-""   F Meiji  $$  Détox A I,D""E, ' ■  :smADa  á L AÏ B E.   Mon père. - - . """""">*   LA BARON "	5781000.xml
á	e	"•■•.-""   F Meiji  $$  Détox A I,D""E, ' ■  :smala  á L AÏ B E.   Mon père. - - . """""">*   LA BARON N f,"	5781000.xml
ll	l	je vous le répète, montrez-vous dignes, de moi, ( llva fermer la porte à clef. )   Ma fille ! ma femme	5781000.xml
nóus	nus	te est certaine, un sort affreux nous attend , si nóusvivons… (  II leur montre un poignard. )   Vous m’	5781000.xml
eutçndez	truandez	"vivons… (  II leur montre un poignard. )   Vous m’eutçndez, ""   L A B A R Q N N E »   Cruel ! cela manquoit "	5781000.xml
manquoit	manquait	"’truandez, ""   L A B A R Q N N E »   Cruel ! cela manquoit à votre fureur. Adélaïde ! embrassez ses genoux d"	5781000.xml
laissezr	laissez	rappe à la porte, on vient me saisir peut-être ,  laissezr un malheureux, sortez. & fermez sur moi les porte	5781000.xml
diî	die	n malheureux, sortez. & fermez sur moi les portes diî tombeau*  LJ’A  B A R O N N  % ' ■  Prenez la cle	5781000.xml
LJ	LU	sortez. & fermez sur moi les portes die tombeau*  LJ’A  B A R O N N  % ' ■  Prenez la clef ma fille, a	5781000.xml
ÂH	AH	" L A B A R O N N E, ADÉLAÏDE, JÉRÔME.   JÉRÔME,   ÂH ! mon cher maître, mon cher maître, ré- "" jouisse"	5781000.xml
É	E	"tre, ré- "" jouissez-vous.  , ;;  -- . ■"",> 0   AD É L A Ï E » E  avec impatiences  Hâtez-vous dé parl"	5781000.xml
Ï	I	"é- "" jouissez-vous.  , ;;  -- . ■"",> 0   AD E L A Ï E » E  avec impatiences  Hâtez-vous dé parler, Fr"	5781000.xml
Frankner	Safraner	 I E » E  avec impatiences  Hâtez-vous dé parler, Frankner ?..,  ■:  J É R Ô M >E.- ;.' ;   II est votre bie	5781000.xml
É	E	ences  Hâtez-vous dé parler, Safraner ?..,  ■:  J É R Ô M >E.- ;.' ;   II est votre bienfaiteur. Vos 	5781000.xml
ççtrx	Pas de correction trouvée	"vos terres sont libres, tous vos créanciers sont  ççtrx' , tens , vous ne devez plus rien, ■'"",""   LE B A"	5781000.xml
tens	nets	"s sont libres, tous vos créanciers sont  ççtrx' , tens , vous ne devez plus rien, ■'"",""   LE B A R q N. "	5781000.xml
Frankner	Safraner	" vous ne devez plus rien, ■'"",""   LE B A R q N.   Frankner ! ,   ADÉLAÏDE  av.es transports  ,-. Eh ! bien, "	5781000.xml
mòn	min	" ! ,   ADÉLAÏDE  av.es transports  ,-. Eh ! bien, mòn père ?. .  '\  ; . ;,- ?;-.  ^ s .  :  *""- / Fiv "	5781000.xml
Fiv	Div	" min père ?. .  '\  ; . ;,- ?;-.  ^ s .  :  *""- / Fiv ■  88 a dé la i de \  ' , . -.' J É ,R…o ;.M E » "	5781000.xml
É	E	".  :  *""- / Div ■  88 a dé la i de \  ' , . -.' J É ,R…o ;.M E »   II a brisé les fers de M. le Cheva"	5781000.xml
paroître	paraître	s de M. le Chevalier, votre fils est libre, il va paroître.  f  ;  L,E B A R O N… ï   Que de bienfaits !   L	5781000.xml
ï	i	 est libre, il va paraître.  f  ;  L,E B A R O N… ï   Que de bienfaits !   LA BARONNE.,   Monsieur le	5781000.xml
SCENE	SCÈNE	iolence ■■*  -.-  qu’il je fait .   Non, Madame.  SCENE IX ET DERNIERE .  LE BARON, LA BARONNE, ADÉLAÏDE,	5781000.xml
DERNIERE	DERNIÈRE	 -.-  qu’il je fait .   Non, Madame.  SCÈNE IX ET DERNIERE .  LE BARON, LA BARONNE, ADÉLAÏDE, LE CHEVALIER) 	5781000.xml
FRANKNER	SAFRANER	 .  LE BARON, LA BARONNE, ADÉLAÏDE, LE CHEVALIER) FRANKNER, JÉRÔME.   ( Le Chevalier entre comme Un désespér	5781000.xml
Frankner	Safraner	ÉRÔME.   ( Le Chevalier entre comme Un désespéré, Frankner le suit avec courage . )    F R A N K N E .R.   .	5781000.xml
suppíice	supplice	déchiré-:• fa générosité redouble ma honte, & mon suppíice.'Se peut-il f… C’est à lui,   DE MARIENDAL. Sp   	5781000.xml
MARIENDAL	MANDARINALE	, & mon supplice.'Se peut-il f… C’est à lui,   DE MARIENDALLE. Sp   c’est à Frankner que je dois notre fortun	5781000.xml
Sp	P	ice.'Se peut-il f… C’est à lui,   DE MANDARINALE. Sp  c’est à Frankner que je dois notre fortune, & ma	5781000.xml
Frankner	Safraner	-il f… C’est à lui,   DE MANDARINALE. P   c’est à Frankner que je dois notre fortune, & ma liberté. Je ne pu	5781000.xml
Frankner	Safraner	berté. Je ne puis résister à cette situation. ( A Frankner.)   Cruel ! mets le. comble à tes’bienfaits & m’a	5781000.xml
FRANKNER	SAFRANER	che la vie, ( II porte la main à son épée ) .  /  FRANKNER.  í O Ciel !  ;  V ' LA BAR ON N E.   J Mon fils 	5781000.xml
í	e	 ( II porte la main à son épée ) .  /  SAFRANER.  í O Ciel !  ;  V ' LA BAR ON N E.   J Mon fils !  E	5781000.xml
Tingratitude	Ingratitude	"est trop. Peut-on porter à ce point la barbarie & Tingratitude Quoi ? Monsieur, vous tournez vos armes contre ""F"	5781000.xml
Frankner	Safraner	". Quoi ? Monsieur, vous tournez vos armes contre ""Frankner ! Songez à l’état dont il nous a tirés ; songez q"	5781000.xml
